hotel,max_month,min_month,max_season,min_season,max_room_type,min_room_type,max_client_type,min_client_type
City Hotel,August,January,Καλοκαίρι,Χειμώνας,A,P,Ζευγάρι,Οικογένεια
Resort Hotel,August,January,Καλοκαίρι,Χειμώνας,A,P,Ζευγάρι,Οικογένεια
